"","country","points","price","province","title","variety","winery"
"374","Chile",84,9,"Maipo Valley","Morandé 2002 Reserve Terrarum Carmenère (Maipo Valley)","Carmenère","Morandé"
"375","US",92,48,"California","Nagy 2010 Garey Ranch Vineyard Pinot Noir (Santa Maria Valley)","Pinot Noir","Nagy"
"376","Chile",80,14,"Cachapoal Valley","Casas del Toqui 2015 Barrel Series Reserva Pinot Noir (Cachapoal Valley)","Pinot Noir","Casas del Toqui"
"377","France",91,25,"Loire Valley","Domaine Fouassier 2010 Les Chailloux  (Sancerre)","Sauvignon Blanc","Domaine Fouassier"
"378","France",88,68,"Champagne","Bruno Paillard NV Première Cuvée Extra Brut Rosé  (Champagne)","Champagne Blend","Bruno Paillard"
"379","Italy",88,14,"Piedmont","Cà ed Balos 2011  Moscato d'Asti","Moscato","Cà ed Balos"
"380","Greece",86,25,"Agioritikos","Tsantali 2011 Metoxi Chromitsa X Single Vineyard Assyrtico-Athiri-Sauvignon Blanc White (Agioritikos)","White Blend","Tsantali"
"381","France",90,50,"Southwest France","Château Tour des Gendres 2008 Moulin des Dames Red (Côtes de Bergerac)","Bordeaux-style Red Blend","Château Tour des Gendres"
"382","Spain",91,13,"Northern Spain","Condado de Oriza 2005 Crianza  (Ribera del Duero)","Tempranillo Blend","Condado de Oriza"
"383","Spain",86,9,"Northern Spain","Torrederos 2013 Joven  (Ribera del Duero)","Tempranillo","Torrederos"
"384","Italy",87,30,"Northeastern Italy","Franz Haas 2014 Pinot Grigio (Alto Adige)","Pinot Grigio","Franz Haas"
"385","Australia",92,31,"South Australia","Yalumba 2008 Hand Picked Shiraz-Viognier (Barossa)","Shiraz-Viognier","Yalumba"
"386","Germany",93,40,"Mosel","Maximin Grünhäuser 2011 Spätburgunder (Mosel)","Spätburgunder","Maximin Grünhäuser"
"387","Portugal",84,NA,"Vinho Verde","Casal Paço Padreiro 2011 Aphros Rosé Vinhão (Vinho Verde)","Vinhão","Casal Paço Padreiro"
"388","France",93,90,"Burgundy","Louis Latour 2015 Sous le Puits Premier Cru  (Puligny-Montrachet)","Chardonnay","Louis Latour"
"389","US",84,15,"California","Castoro Cellars 2006 Zinfandel (Paso Robles)","Zinfandel","Castoro Cellars"
"390","US",90,28,"Washington","Walla Walla Vintners 2010 Washington State Cuvée Red (Washington)","Red Blend","Walla Walla Vintners"
"391","Germany",91,25,"Pfalz","Pflüger 2015 Dürkheimer Trocken Riesling (Pfalz)","Riesling","Pflüger"
"392","Italy",84,13,"Piedmont","Veglio 2008  Moscato d'Asti","Moscato","Veglio"
"393","France",91,40,"Burgundy","Château de Maligny 2010 Fourchaume Premier Cru  (Chablis)","Chardonnay","Château de Maligny"
"394","Italy",87,16,"Piedmont","Saracco 2006  Moscato d'Asti","Moscato","Saracco"
"395","Spain",88,29,"Northern Spain","Vallobera 2015 Reserva  (Rioja)","Tempranillo","Vallobera"
"396","US",90,18,"Washington","Coeur d'Alene 2006 Viognier (Washington)","Viognier","Coeur d'Alene"
"397","US",92,30,"California","Peterson 2007 Home Farm Lipton-Daniel Vineyard Muscat Blanc (Dry Creek Valley)","Muscat Blanc","Peterson"
"398","South Africa",90,16,"Simonsberg-Stellenbosch","Delheim 2007 Rosé Pinotage (Simonsberg-Stellenbosch)","Pinotage","Delheim"
"399","Italy",87,15,"Veneto","Albino Piona 2016  Bardolino Chiaretto","Rosé","Albino Piona"
"400","US",87,40,"California","The Prisoner 2013 Red (Napa Valley)","Red Blend","The Prisoner"
"401","France",84,20,"Bordeaux","Château de Callac 2013 Prestige  (Graves)","Bordeaux-style White Blend","Château de Callac"
"402","US",92,75,"California","Sanguis 2011 Bossman Syrah (Central Coast)","Syrah","Sanguis"
"403","France",84,12,"Bordeaux","Château Joinin 2014  Bordeaux","Bordeaux-style Red Blend","Château Joinin"
"404","US",88,25,"Oregon","Quady North 2013 4-2,A Syrah (Rogue Valley)","Syrah","Quady North"
"405","Italy",86,NA,"Sicily & Sardinia","Pala 2011 Chiaro di Stelle Rosé (Isola dei Nuraghi)","Rosé","Pala"
"406","US",88,17,"California","Kendall-Jackson 2011 Vintner's Reserve Zinfandel (Mendocino County)","Zinfandel","Kendall-Jackson"
"407","Italy",89,50,"Piedmont","Cocchi 2009 Pas Dosé Sparkling (Alta Langa)","Sparkling Blend","Cocchi"
"408","France",88,16,"Southwest France","Château du Port 2014 Tertre-Perdigous Malbec-Merlot (Cahors)","Malbec-Merlot","Château du Port"
"409","US",92,35,"Washington","Efeste 2012 Lola Evergreen Vineyard Chardonnay (Columbia Valley (WA))","Chardonnay","Efeste"
"410","Italy",89,75,"Piedmont","Cascina Chicco 2013 Rocche del Castelletto  (Barolo)","Nebbiolo","Cascina Chicco"
"411","Argentina",89,45,"Mendoza Province","Viña Cobos 2011 Bramare Marchiori Vineyard Chardonnay (Mendoza)","Chardonnay","Viña Cobos"
"412","US",89,32,"Washington","Market Vineyards 2011 Arbitrage Cabernet Sauvignon (Columbia Valley (WA))","Cabernet Sauvignon","Market Vineyards"
"413","Argentina",86,19,"Mendoza Province","Altocedro 2011 Año Cero Cabernet Sauvignon (La Consulta)","Cabernet Sauvignon","Altocedro"
"414","US",89,49,"Oregon","Winter's Hill 2015 Block 10 Whole Cluster Pinot Noir (Dundee Hills)","Pinot Noir","Winter's Hill"
"415","US",90,38,"California","Lucienne 2005 Pinot Noir (Santa Lucia Highlands)","Pinot Noir","Lucienne"
"416","US",90,95,"California","William Hill Estate 2011 Benchmark Red (Napa Valley)","Bordeaux-style Red Blend","William Hill Estate"
"417","France",89,22,"Bordeaux","Château de Belcier 2011 Les Armoiries de Belcier  (Castillon Côtes de Bordeaux)","Bordeaux-style Red Blend","Château de Belcier"
"418","US",83,30,"California","Collier Falls 2004 Private Reserve Zinfandel (Dry Creek Valley)","Zinfandel","Collier Falls"
"419","France",95,75,"Alsace","Domaine Schoffit 2006 Rangen Grand Cru Clos Saint Théobald Sélection de Grains Nobles Gewurztraminer (Alsace)","Gewürztraminer","Domaine Schoffit"
"420","US",91,76,"California","Ram's Gate 2012 Estate Pinot Noir (Carneros)","Pinot Noir","Ram's Gate"
"421","US",91,40,"California","Lafond 2011 Lafond Vineyard Syrah (Sta. Rita Hills)","Syrah","Lafond"
"422","US",85,16,"Washington","McKinley Springs 2009 Horsepower Proprietary Red (Horse Heaven Hills)","Red Blend","McKinley Springs"
"423","US",85,22,"Oregon","Kudos 2014 Reserve Pinot Noir","Pinot Noir","Kudos"
"424","US",94,50,"California","Martin Ray 2013 Reserve Pinot Noir (Santa Cruz Mountains)","Pinot Noir","Martin Ray"
"425","France",87,15,"Bordeaux","Château des Tourtes 2016 Cuvée Classique  (Blaye Côtes de Bordeaux)","Bordeaux-style White Blend","Château des Tourtes"
"426","France",92,90,"Burgundy","Château de Santenay 2014 Les Pruliers Premier Cru  (Nuits-St.-Georges)","Pinot Noir","Château de Santenay"
"427","Austria",90,32,"Carnuntum","Glatzer 2012 Dornenvogel Zweigelt (Carnuntum)","Zweigelt","Glatzer"
"428","US",86,34,"California","El Pistolero 2014 Cold Steel Chardonnay (Santa Lucia Highlands)","Chardonnay","El Pistolero"
"429","Italy",87,40,"Tuscany","Vecchia Cantina di Montepulciano 2011  Vino Nobile di Montepulciano","Red Blend","Vecchia Cantina di Montepulciano"
"430","Spain",81,12,"Central Spain","Bodegas Orusco 2009 Viña Main Blanco Malvar (Vinos de Madrid)","Malvar","Bodegas Orusco"
"431","US",90,60,"Washington","Matthews 2012 Reserve Red (Columbia Valley (WA))","Bordeaux-style Red Blend","Matthews"
"432","Spain",87,13,"Catalonia","Bohigas 2015 X Xarel-lo (Catalunya)","Xarel-lo","Bohigas"
"433","US",85,34,"California","Quivira 2006 Wine Creek Ranch Zinfandel (Dry Creek Valley)","Zinfandel","Quivira"
"434","US",88,35,"California","Treana 1997 Red (Central Coast)","Rhône-style Red Blend","Treana"
"435","US",90,20,"California","Espana Robles 2012 Red (Paso Robles)","Tempranillo Blend","Espana Robles"
"436","US",87,22,"California","De Sante 2006 Sauvignon Blanc (Napa Valley)","Sauvignon Blanc","De Sante"
"437","US",93,60,"Oregon","Elk Cove 2014 Clay Court Pinot Noir (Chehalem Mountains)","Pinot Noir","Elk Cove"
"438","France",87,15,"Provence","Mas de Cadenet 2013 Nuit Blanche en Provence Rosé (Côtes de Provence)","Rosé","Mas de Cadenet"
"439","Chile",83,8,"Colchagua Valley","Viña Bisquertt 2014 Petirrojo Reserva Estate Grown Cabernet Sauvignon (Colchagua Valley)","Cabernet Sauvignon","Viña Bisquertt"
"440","US",90,20,"Washington","Kerloo 2015 Blue Mountain Vineyard Syrah (Walla Walla Valley (WA))","Syrah","Kerloo"
"441","US",94,150,"California","Tierra Roja 2013 Cabernet Sauvignon (Oakville)","Cabernet Sauvignon","Tierra Roja"
"442","Spain",85,10,"Central Spain","Mureda 2013 Organic Syrah (Vino de la Tierra de Castilla)","Syrah","Mureda"
"443","Italy",86,16,"Piedmont","Ricossa 2010 Antica Casa  (Moscato d'Asti)","Moscato","Ricossa"
"444","US",88,45,"Oregon","Torii Mor 2013 Dundee Hills Select Pinot Noir (Dundee Hills)","Pinot Noir","Torii Mor"
"445","France",87,20,"Burgundy","Louis Bouillot NV Perle d'Aurore Rosé Brut  (Crémant de Bourgogne)","Sparkling Blend","Louis Bouillot"
"446","Italy",87,18,"Northeastern Italy","Cantina Valle Isarco 2012 Aristos Sylvaner (Alto Adige Valle Isarco)","Sylvaner","Cantina Valle Isarco"
"447","US",86,17,"Washington","Kestrel 2015 Falcon Series Estate Pinot Grigio (Yakima Valley)","Pinot Grigio","Kestrel"
"448","France",93,32,"Alsace","Domaine Saint-Rémy 2014 Ehrhart Hengst Grand Cru Gewurztraminer (Alsace)","Gewürztraminer","Domaine Saint-Rémy"
"449","Spain",85,19,"Northern Spain","Cepa 21 2013 Hito Rosado Tinto Fino (Ribera del Duero)","Tinto Fino","Cepa 21"
"450","Spain",88,19,"Northern Spain","Marques de Tomares 2006 Crianza  (Rioja)","Tempranillo Blend","Marques de Tomares"
"451","Spain",91,46,"Northern Spain","Marqués de Cáceres 2008 MC  (Rioja)","Tempranillo","Marqués de Cáceres"
"452","France",88,25,"Provence","Mirabeau 2016 Pure Rosé (Côtes de Provence)","Rosé","Mirabeau"
"453","US",87,35,"California","Ampelos 2005 Byron Vineyard Delta Grenache (Santa Maria Valley)","Grenache","Ampelos"
"454","US",88,45,"Washington","Woodinville Wine Cellars 2010 Cabernet Franc (Columbia Valley (WA))","Cabernet Franc","Woodinville Wine Cellars"
"455","Austria",91,NA,"Burgenland","Schwarz Wein 2014 Zweigelt (Burgenland)","Zweigelt","Schwarz Wein"
"456","US",87,50,"Oregon","Erath 2008 Prince Hill 115 Pinot Noir (Dundee Hills)","Pinot Noir","Erath"
"457","Chile",87,13,"Colchagua Valley","Siegel 2007 Crucero Reserva Syrah (Colchagua Valley)","Syrah","Siegel"
"458","Italy",93,81,"Veneto","Cesari 2005 Il Bosco  (Amarone della Valpolicella Classico)","Corvina, Rondinella, Molinara","Cesari"
"459","France",93,50,"Champagne","Louise Brison 2008 Tendresse Brut Chardonnay (Champagne)","Chardonnay","Louise Brison"
"460","US",89,22,"California","Daniel Cohn 2014 Bellacosa Cabernet Sauvignon (North Coast)","Cabernet Sauvignon","Daniel Cohn"
"461","US",88,42,"Washington","Pondera 2012 Stiletto Red (Columbia Valley (WA))","Bordeaux-style Red Blend","Pondera"
"462","US",88,38,"California","Bella 2007 Two Patch Zinfandel (Alexander Valley)","Zinfandel","Bella"
"463","US",92,120,"California","Jarvis 2010 Estate Grown Cave Fermented Petit Verdot (Napa Valley)","Petit Verdot","Jarvis"
"464","US",85,22,"California","Robledo 2011 Seven Brothers Sauvignon Blanc (Lake County)","Sauvignon Blanc","Robledo"
"465","France",83,24,"Bordeaux","Château Toumilon 2003  Graves","Bordeaux-style Red Blend","Château Toumilon"
"466","US",91,15,"Washington","Barons V 2011 Sauvignon Blanc (Columbia Valley (WA))","Sauvignon Blanc","Barons V"
"467","US",92,33,"Washington","Soos Creek 2007 Champoux Vineyard Red Wine Red (Horse Heaven Hills)","Red Blend","Soos Creek"
"468","US",88,28,"California","Palumbo Family Vineyards 2015 Grenache Blanc (Temecula Valley)","Grenache Blanc","Palumbo Family Vineyards"
"469","Italy",85,20,"Veneto","Mionetto NV Sergio Rosé Sparkling (Veneto)","Sparkling Blend","Mionetto"
"470","Argentina",88,54,"Other","Bodega Noemía de Patagonia 2011 J. Alberto Single Vineyard Malbec (Río Negro Valley)","Malbec","Bodega Noemía de Patagonia"
"471","France",94,NA,"Bordeaux","Château Hosanna 2012 Barrel Sample  (Pomerol)","Bordeaux-style Red Blend","Château Hosanna"
"472","Portugal",85,18,"Port","Kopke NV Reserve Tawny  (Port)","Port","Kopke"
"473","Spain",92,29,"Northern Spain","Marqués de Murrieta 2011 Capellanía Viura (Rioja)","Viura","Marqués de Murrieta"
"474","France",88,18,"Burgundy","Vignerons des Terres Secrètes 2008 Les Trois Pêcheurs  (Saint-Véran)","Chardonnay","Vignerons des Terres Secrètes"
"475","US",91,60,"California","Hawkes 2005 Red Winery Vineyard Cabernet Sauvignon (Alexander Valley)","Cabernet Sauvignon","Hawkes"
"476","Portugal",91,22,"Alentejo","Herdade do Esporão 2005 Reserva Red (Alentejo)","Portuguese Red","Herdade do Esporão"
"477","France",94,40,"Bordeaux","Château la Louvière 2012  Pessac-Léognan","Bordeaux-style White Blend","Château la Louvière"
"478","New Zealand",90,15,"Gisborne","Coopers Creek 2014 Chardonnay (Gisborne)","Chardonnay","Coopers Creek"
"479","US",88,19,"California","Cirque du Vin 2014 Red (Paso Robles)","Red Blend","Cirque du Vin"
"480","US",88,25,"California","Terre Rouge 2009 Mourvèdre (Sierra Foothills)","Mourvèdre","Terre Rouge"
"481","Italy",91,45,"Southern Italy","I Capitani 2006 Bosco Faiano  (Taurasi)","Aglianico","I Capitani"
"482","France",92,39,"Bordeaux","Château Grand Barrail Lamarzelle Figeac 2014  Saint-Émilion","Bordeaux-style Red Blend","Château Grand Barrail Lamarzelle Figeac"
"483","Portugal",91,30,"Tejo","Quinta da Ribeirinha 2013 Vale de Lobos Touriga Nacional (Tejo)","Touriga Nacional","Quinta da Ribeirinha"
"484","US",89,36,"California","Fiddletown Cellars 2011 Private Stock Red (Amador County)","Red Blend","Fiddletown Cellars"
"485","South Africa",88,21,"Paarl","Fairview 2014 Viognier (Paarl)","Viognier","Fairview"
"486","Chile",89,17,"Cachapoal Valley","Château Los Boldos 2015 Grande Réserve Carmenère (Cachapoal Valley)","Carmenère","Château Los Boldos"
"487","Germany",86,15,"Nahe","Moselland 2014 Cat Bottle Rosé Pinot Noir (Nahe)","Pinot Noir","Moselland"
"488","US",86,38,"Virginia","Breaux 2006 Nebbiolo (Virginia)","Nebbiolo","Breaux"
"489","Austria",91,40,"Kremstal","Josef Schmid 2012 Sunogeln Reserve Riesling (Kremstal)","Riesling","Josef Schmid"
"490","Italy",89,19,"Southern Italy","Rivera 2006 Piani di Tufara Moscato (Puglia)","Moscato","Rivera"
"491","Australia",87,13,"South Australia","Longview 2006 Red Bucket Semillon-Sauvignon Blanc (Adelaide Hills)","Semillon-Sauvignon Blanc","Longview"
"492","US",88,25,"California","Wharton 2014 Riesling (Napa Valley)","Riesling","Wharton"
"493","US",86,40,"Oregon","Weisinger 2013 Estate Pinot Noir (Rogue Valley)","Pinot Noir","Weisinger"
"494","France",84,22,"Beaujolais","Jean-Luc and Paul Aegerter 2012 Léon  (Beaujolais-Villages)","Gamay","Jean-Luc and Paul Aegerter"
"495","France",88,16,"Rhône Valley","Laudun Chusclan 2013 Camp Romain White (Côtes du Rhône Villages)","Rhône-style White Blend","Laudun Chusclan"
"496","US",86,17,"California","ZinPhomaniac 2012 Old Vines Zinfandel (Lodi)","Zinfandel","ZinPhomaniac"
"497","US",87,16,"California","Clarksburg Wine Company 2011 Chenin Blanc-Viognier (Clarksburg)","Chenin Blanc-Viognier","Clarksburg Wine Company"
"498","France",93,80,"Champagne","Lombard et Cie NV Brut Nature Chouilly Grand Cru Chardonnay (Champagne)","Chardonnay","Lombard et Cie"
"499","Spain",84,10,"Northern Spain","Ignacio Marín 2013 Magnífico Grenache (Cariñena)","Grenache","Ignacio Marín"
"500","Italy",85,17,"Veneto","Canella NV Brut  (Prosecco)","Glera","Canella"
"501","Italy",88,50,"Central Italy","Di Filippo 2010  Montefalco Sagrantino","Sagrantino","Di Filippo"
"502","Chile",86,30,"Colchagua Valley","Caliterra 2012 Edicion Limitada M Red (Colchagua Valley)","Red Blend","Caliterra"
"503","US",91,55,"California","Austin Hope 2013 Grenache (Templeton Gap District)","Grenache","Austin Hope"
"504","New Zealand",85,20,"Hawke's Bay","Caroline Bay 2000 Cabernet Sauvignon (Hawke's Bay)","Cabernet Sauvignon","Caroline Bay"
"505","US",86,19,"California","Cirque du Vin 2012 Red (Paso Robles)","Red Blend","Cirque du Vin"
"506","US",92,32,"California","Pessagno 2006 Sleepy Hollow Vineyard Chardonnay (Santa Lucia Highlands)","Chardonnay","Pessagno"
"507","US",94,60,"Washington","Gorman 2008 The Evil Twin Cabernet Sauvignon-Syrah (Red Mountain)","Cabernet Sauvignon-Syrah","Gorman"
"508","Portugal",87,14,"Alentejano","Monte da Ravasqueira 2013 Fonte da Serrana White (Alentejano)","Portuguese White","Monte da Ravasqueira"
"509","France",90,NA,"Bordeaux","Château Gazin 2006  Pomerol","Bordeaux-style Red Blend","Château Gazin"
"510","Australia",86,15,"South Australia","2 Up 2008 Shiraz (South Australia)","Shiraz","2 Up"
"511","Italy",86,20,"Southern Italy","Tenuta Fujanera 2009 Arrocco Nero di Troia (Puglia)","Nero di Troia","Tenuta Fujanera"
"512","Argentina",84,9,"Other","Callia 2008 Alta Pinot Grigio (Tulum Valley)","Pinot Grigio","Callia"
"513","US",88,28,"Washington","Stottle 2013 Merlot (Yakima Valley)","Merlot","Stottle"
"514","US",96,62,"California","Foxen 2015 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley)","Pinot Noir","Foxen"
"515","France",85,10,"France Other","Gabriel Meffre 2015 Gabriel Sauvignon Blanc-Muscat White (Vin de France)","White Blend","Gabriel Meffre"
"516","US",86,8,"California","Kenwood 2012 Vintage White (California)","White Blend","Kenwood"
"517","France",89,70,"France Other","Andre et Mireille Tissot 2006 Vin Jaune Savagnin (Arbois)","Savagnin","Andre et Mireille Tissot"
"518","Chile",87,12,"Rapel Valley","Lapostolle 2011 Casa Grand Selection Merlot (Rapel Valley)","Merlot","Lapostolle"
"519","US",92,60,"Washington","Sleight of Hand 2014 The Psychedelic Stoney Vine Estate Vineyard Syrah (Walla Walla Valley (WA))","Syrah","Sleight of Hand"
"520","US",85,26,"Washington","Trio Vintners 2010 Far Away Vineyard Grenache (Yakima Valley)","Grenache","Trio Vintners"
"521","US",88,45,"Washington","Dowsett Family 2010 Heart of the Hill Vineyard Mourvèdre (Red Mountain)","Mourvèdre","Dowsett Family"
"522","US",85,8,"California","Turning Leaf 2006 Reserve Cabernet Sauvignon (California)","Cabernet Sauvignon","Turning Leaf"
"523","Spain",95,88,"Northern Spain","CVNE 2010 Imperial Gran Reserva  (Rioja)","Tempranillo","CVNE"
"524","France",84,15,"Burgundy","Cave des Grands Crus Blancs 2015 Solaire  (Mâcon-Vinzelles)","Chardonnay","Cave des Grands Crus Blancs"
"525","Italy",87,16,"Tuscany","Rocca delle Macìe 2014 Famiglia Zingarelli  (Chianti Classico)","Red Blend","Rocca delle Macìe"
"526","Italy",86,13,"Tuscany","Travignoli 2013  Chianti Rufina","Sangiovese","Travignoli"
"527","Italy",92,80,"Lombardy","Bellavista 2004 Gran Cuvée Pas Opere Sparkling (Franciacorta)","Sparkling Blend","Bellavista"
"528","Spain",91,35,"Northern Spain","Viñas del Cenit 2013 Via Cenit Tempranillo (Tierra del Viños de Zamora)","Tempranillo","Viñas del Cenit"
"529","Spain",85,14,"Northern Spain","Familia Solana 2009  Toro","Tempranillo Blend","Familia Solana"
"530","US",90,15,"California","Murphy-Goode 2013 Pinot Noir (California)","Pinot Noir","Murphy-Goode"
"531","US",85,59,"California","Michael David 2009 Gluttony Old Vine Zinfandel Zinfandel (Amador County)","Zinfandel","Michael David"
"532","US",93,35,"California","Laetitia 2004 Cuvée M Sparkling (Arroyo Grande Valley)","Sparkling Blend","Laetitia"
"533","Italy",87,14,"Sicily & Sardinia","Cantina Santadi 2009 Villa Solais  (Vermentino di Sardegna)","Vermentino","Cantina Santadi"
"534","Italy",88,20,"Northeastern Italy","Andriano 2011 Pinot Grigio (Alto Adige)","Pinot Grigio","Andriano"
"535","Spain",85,11,"Northern Spain","Montespina 2008 Sauvignon Blanc (Rueda)","Sauvignon Blanc","Montespina"
"536","Austria",91,25,"Burgenland","Umathum 2013 Rosa Rosé (Burgenland)","Rosé","Umathum"
"537","Australia",90,17,"South Australia","Wakefield 2015 Riesling (Clare Valley)","Riesling","Wakefield"
"538","France",90,26,"Burgundy","Domaine des Valanges 2014 Hors Classe  (Saint-Véran)","Chardonnay","Domaine des Valanges"
"539","US",90,18,"California","Ancient Peaks 2013 Cabernet Sauvignon (Santa Margarita Ranch)","Cabernet Sauvignon","Ancient Peaks"
"540","Italy",87,30,"Southern Italy","Paternoster 2007 Synthesi  (Aglianico del Vulture)","Aglianico","Paternoster"
"541","US",82,35,"California","Lafond 1997 Lafond Vineyard Pinot Noir (Santa Ynez Valley)","Pinot Noir","Lafond"
"542","US",92,50,"California","Fess Parker 2013 Ashley's Pinot Noir (Sta. Rita Hills)","Pinot Noir","Fess Parker"
"543","Chile",85,11,"Casablanca Valley","William Cole 2011 Albamar Sauvignon Blanc (Casablanca Valley)","Sauvignon Blanc","William Cole"
"544","US",87,12,"Oregon","Acrobat 2011 Pinot Gris (Oregon)","Pinot Gris","Acrobat"
"545","France",89,40,"Champagne","Lelarge-Pugeot NV Premier Cru Brut Tradition  (Champagne)","Champagne Blend","Lelarge-Pugeot"
"546","France",88,45,"Champagne","Chanoine NV Tsarine Cuvée Premium Brut  (Champagne)","Champagne Blend","Chanoine"
"547","Italy",90,79,"Tuscany","Pecci Celestino 2007  Brunello di Montalcino","Sangiovese Grosso","Pecci Celestino"
"548","France",92,62,"Bordeaux","Château Brown 2011  Pessac-Léognan","Bordeaux-style White Blend","Château Brown"
"549","Germany",93,78,"Mosel","Dr. H. Thanisch (Erben Thanisch) 2013 Berncasteler Doctor Spätlese Gold Cap Riesling (Mosel)","Riesling","Dr. H. Thanisch (Erben Thanisch)"
"550","US",92,42,"Washington","Gramercy 2007 Cabernet Sauvignon (Columbia Valley (WA))","Cabernet Sauvignon","Gramercy"
"551","Germany",91,22,"Mosel","Dr. Loosen 2013 Blue Slate Kabinett Riesling (Mosel)","Riesling","Dr. Loosen"
"552","France",88,19,"Bordeaux","Château Bel-Air 2014  Cadillac Côtes de Bordeaux","Bordeaux-style Red Blend","Château Bel-Air"
"553","France",85,12,"Southwest France","Domaine de Pellehaut 2016 Harmonie de Gascogne Rosé (Côtes de Gascogne)","Rosé","Domaine de Pellehaut"
"554","US",85,25,"California","J. Lohr 2012 Highlands Bench Chardonnay (Santa Lucia Highlands)","Chardonnay","J. Lohr"
"555","US",87,55,"Washington","Cave B 2011 Cuvée du Soleil Red (Columbia Valley (WA))","Bordeaux-style Red Blend","Cave B"
"556","New Zealand",91,15,"Marlborough","Ant Moore 2015 Sauvignon Blanc (Marlborough)","Sauvignon Blanc","Ant Moore"
"557","Spain",87,35,"Northern Spain","Campo Alegre 2007  Toro","Tinta de Toro","Campo Alegre"
"558","France",88,NA,"Burgundy","Albert Bichot 2010  Savigny-lès-Beaune","Chardonnay","Albert Bichot"
"559","US",91,30,"California","Tres Sabores 2012 Por Que No? Red (Napa Valley)","Red Blend","Tres Sabores"
"560","Portugal",84,8,"Tejo","Quinta da Lapa 2015 Vinho Selection Rosé (Tejo)","Rosé","Quinta da Lapa"
"561","Portugal",87,19,"Lisboa","Adega Mãe 2014 White (Lisboa)","Viosinho","Adega Mãe"
"562","Austria",91,19,"Burgenland","Meinklang 2014 Graupert Pinot Gris (Burgenland)","Pinot Gris","Meinklang"
"563","Italy",86,20,"Veneto","Terre di San Venanzio Fortunato NV Extra Dry  (Prosecco di Valdobbiadene)","Prosecco","Terre di San Venanzio Fortunato"
"564","Italy",87,19,"Sicily & Sardinia","Baglio di Pianetto 2007 Ficiligno White (Sicilia)","White Blend","Baglio di Pianetto"
"565","US",87,48,"California","J Vineyards & Winery 2005 Vintage Brut Sparkling (Russian River Valley)","Sparkling Blend","J Vineyards & Winery"
"566","US",90,9,"Washington","Hyatt Vineyards 2008 Pinot Gris (Rattlesnake Hills)","Pinot Gris","Hyatt Vineyards"
"567","US",94,60,"Oregon","Ponzi 2013 Aurora Vineyard Chardonnay (Willamette Valley)","Chardonnay","Ponzi"
"568","US",84,14,"New York","Penguin Bay 2008 Surfside Chardonnay (Finger Lakes)","Chardonnay","Penguin Bay"
"569","Italy",87,18,"Veneto","La Gioiosa NV Extra Dry  (Valdobbiadene Prosecco Superiore)","Glera","La Gioiosa"
"570","Germany",88,19,"Mosel-Saar-Ruwer","Rudolf Eilenz 2006 Ayler Kupp Spätlese Feinherb Riesling (Mosel-Saar-Ruwer)","Riesling","Rudolf Eilenz"
"571","US",87,25,"California","Husch 2012 Estate Bottled Pinot Noir (Anderson Valley)","Pinot Noir","Husch"
"572","Spain",85,10,"Central Spain","Volteo 2010 Verdejo-Viognier-Sauvignon Blanc White (Vino de la Tierra de Castilla)","White Blend","Volteo"
"573","US",88,20,"Oregon","Stoller 2012 Estate Grown Rosé Pinot Noir (Dundee Hills)","Pinot Noir","Stoller"
"574","US",85,10,"California","Concannon 2007 Selected Vineyards Chardonnay (Central Coast)","Chardonnay","Concannon"
"575","Portugal",86,13,"Alentejano","J. Portugal Ramos 2016 Pouca Roupa Rosé (Alentejano)","Rosé","J. Portugal Ramos"
"576","Italy",88,22,"Tuscany","Querciabella 2011 Mongrana  (Maremma Toscana)","Red Blend","Querciabella"
"577","Portugal",87,20,"Setubal","Herdade da Comporta 2007 Tinto Red (Setubal)","Portuguese Red","Herdade da Comporta"
"578","Spain",84,13,"Central Spain","Anciano 2006 Reserva 7 Years Tempranillo (Valdepeñas)","Tempranillo","Anciano"
"579","US",92,30,"California","Klinker Brick 2013 Marisa Vineyard Zinfandel (Lodi)","Zinfandel","Klinker Brick"
"580","US",91,49,"California","Marimar Estate 2012 Don Miguel Vineyard Estate Grown and Bottled Unfiltered Syrah (Russian River Valley)","Syrah","Marimar Estate"
"581","US",90,29,"California","Ottimino Vineyards 2008 Rancho Bello Vineyard Zinfandel (Russian River Valley)","Zinfandel","Ottimino Vineyards"
"582","Spain",84,13,"Northern Spain","Egeo 2014 Verdejo (Rueda)","Verdejo","Egeo"
"583","US",90,20,"California","Buena Vista 2013 Chardonnay (Carneros)","Chardonnay","Buena Vista"
"584","US",88,20,"California","Summerland 2013 Chardonnay (Santa Barbara County)","Chardonnay","Summerland"
"585","US",88,17,"Washington","Pendulum 2014 Cabernet Sauvignon (Columbia Valley (WA))","Cabernet Sauvignon","Pendulum"
"586","France",88,NA,"Beaujolais","Terroirs et Talents 2006 Château de la Terrière  (Beaujolais-Villages)","Gamay","Terroirs et Talents"
"587","Italy",85,35,"Piedmont","Borgogno F.lli Serio e Battista 2009  Barbaresco","Nebbiolo","Borgogno F.lli Serio e Battista"
"588","Spain",82,10,"Levante","Tarantas 2014 Sparkling (Valencia)","Sparkling Blend","Tarantas"
"589","Italy",90,60,"Piedmont","Giacomo Grimaldi 2011 Sotto Castello di Novello  (Barolo)","Nebbiolo","Giacomo Grimaldi"
